frame_number,chosen_traj_idx,time_elapsed
0.0,3.0,3.0209898948669434
7.0,3.0,4.087758302688599
14.0,3.0,5.141170263290405
21.0,3.0,6.1777143478393555
28.0,3.0,7.247343063354492
35.0,3.0,8.322665929794312
42.0,3.0,9.402454137802124
49.0,2.0,10.489376306533813
56.0,3.0,11.569246530532837
63.0,3.0,12.64678406715393
70.0,3.0,13.711519718170166
77.0,3.0,14.78928542137146
84.0,3.0,15.892951726913452
91.0,3.0,16.99345874786377
98.0,3.0,18.077982902526855
105.0,3.0,19.155507564544678
112.0,3.0,20.301869869232178
119.0,3.0,21.400304794311523
126.0,3.0,22.511556148529053
133.0,3.0,23.60489535331726
140.0,3.0,24.73051357269287
147.0,3.0,25.860570669174194
154.0,3.0,26.960119247436523
161.0,3.0,28.06506037712097
168.0,3.0,29.184661149978638
175.0,4.0,30.28640913963318
182.0,5.0,31.381097555160522
189.0,5.0,32.46171474456787
196.0,5.0,33.55487656593323
203.0,6.0,34.648502349853516
210.0,6.0,35.742945194244385
217.0,6.0,36.865999937057495
224.0,6.0,37.973801374435425
231.0,6.0,39.09067344665527
238.0,6.0,40.19609546661377
245.0,6.0,41.28915095329285
252.0,6.0,42.41841769218445
